image_id,relative_path,filename,extension,file_size_bytes,session_guess,session_id,date_guess,quality_band,source_group,group_id,label,label_status,relation_note,candidate_groups,sequence_guess,sequence_source,sequence_confidence,width,height,image_format,read_status,sha256,side,crop_status,review_status,candidate_cluster,confirmed_identity,individual_id,split,cluster,cluster_probability
IMG_ea3c050ed8c0f117,70-79/05/0143_20140417_SZi_01_RAY_0010.JPG,0143_20140417_SZi_01_RAY_0010.JPG,.jpg,175948,1,1,2014-04-17,70_79,05,5.0,01_05,labeled,,,01::0143_20140417_SZi_01_RAY,filename_trailing_number,medium,768,357,JPEG,readable,cfa4f0780d1d5f2127200ba40b524508295ec295bd4971d07d489f6a4af7850c,unknown,pending,unreviewed,,,1_5.0,labeled,0,1.0
IMG_291e2277785cff7b,70-79/11/0148_20140417_SZi_01_RAY_0018.JPG,0148_20140417_SZi_01_RAY_0018.JPG,.jpg,402087,1,1,2014-04-17,70_79,11,11.0,01_11,labeled,,,01::0148_20140417_SZi_01_RAY,filename_trailing_number,medium,1105,572,JPEG,readable,27729d9c18e5df33af36f5ec70137dca092c1ad231ca63aed267e68461509a01,unknown,pending,unreviewed,,,1_11.0,labeled,-1,0.0
IMG_87c7629244e02709,70-79/12/0333_20140417_SZi_01_RAY_0403.JPG,0333_20140417_SZi_01_RAY_0403.JPG,.jpg,107660,1,1,2014-04-17,70_79,12,12.0,01_12,labeled,,,01::0333_20140417_SZi_01_RAY,filename_trailing_number,medium,450,300,JPEG,readable,c3bf1f236eefc67b7bd07685e47e5d19701321c9ff98a3769224e29de4b9bda0,unknown,pending,unreviewed,,,1_12.0,labeled,0,1.0
IMG_cfd8413c8fd7adb5,70-79/13/0351_20140417_SZi_01_RAY_0439.JPG,0351_20140417_SZi_01_RAY_0439.JPG,.jpg,481505,1,1,2014-04-17,70_79,13,13.0,01_13,labeled,,,01::0351_20140417_SZi_01_RAY,filename_trailing_number,medium,1479,524,JPEG,readable,fc70f9d068dd0bece73e60c5230d2a70b8361b8ef5f90d61a503dd74ae396fd3,unknown,pending,unreviewed,,,1_13.0,labeled,-1,0.0
IMG_79691a75f9b33de6,70-79/14/0341_20140417_SZi_01_RAY_0426.JPG,0341_20140417_SZi_01_RAY_0426.JPG,.jpg,413306,1,1,2014-04-17,70_79,14,14.0,01_14,labeled,,,01::0341_20140417_SZi_01_RAY,filename_trailing_number,medium,1376,496,JPEG,readable,0dd5036dff5a5afad173dfcdb568c8f0fdcfa00b4636f4ebe3a6648c73f32c4e,unknown,pending,unreviewed,,,1_14.0,labeled,-1,0.0
IMG_bcf3d9dd1cb6b9e2,80 and above/01/0180_20140417_SZi_01_RAY_0108.JPG,0180_20140417_SZi_01_RAY_0108.JPG,.jpg,7737847,1,1,2014-04-17,80_and_above,01,1.0,01_01,labeled,,,01::0180_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,5abc56ac52ab4b38a9d4ea5f2982da86763d1f8fdce222698ce83657cb7bbb78,unknown,pending,unreviewed,,,1_1.0,labeled,-1,0.0
IMG_89787964d002fdf6,80 and above/01/0185_20140417_SZi_01_RAY_0113.JPG,0185_20140417_SZi_01_RAY_0113.JPG,.jpg,1988247,1,1,2014-04-17,80_and_above,01,1.0,01_01,labeled,,,01::0185_20140417_SZi_01_RAY,filename_trailing_number,medium,2746,1212,JPEG,readable,14fa56f795863ef1456a334836a1f6748f9ed316efe3904b871c667fa33fa248,unknown,pending,unreviewed,,,1_1.0,labeled,0,0.9938179561373085
IMG_6dc8f895e31c5f95,80 and above/01/0213_20140417_SZi_01_RAY_0168.JPG,0213_20140417_SZi_01_RAY_0168.JPG,.jpg,5089037,1,1,2014-04-17,80_and_above,01,1.0,01_01,labeled,,,01::0213_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,8552b06fefa28f93de14c1c2352f9afcd9e8c3e888b80094f038fad560403b5a,unknown,pending,unreviewed,,,1_1.0,labeled,-1,0.0
IMG_c9089614b6a55260,80 and above/02 （sj of 01)/0163_20140417_SZi_01_RAY_0060.JPG,0163_20140417_SZi_01_RAY_0060.JPG,.jpg,5618012,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0163_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,82d926111c537df78b968d44cdd22fe1d44cc8d47c8ab9d653aa597d3a49cf7b,unknown,pending,unreviewed,,,1_2.0,labeled,0,1.0
IMG_a1b65ba015bf8a38,80 and above/02 （sj of 01)/0170_20140417_SZi_01_RAY_0089.JPG,0170_20140417_SZi_01_RAY_0089.JPG,.jpg,5837471,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0170_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,86b3d73edaf57b08c43381e6a8830ce0a5c945aa5beb13325af8814ed5b4912a,unknown,pending,unreviewed,,,1_2.0,labeled,0,1.0
IMG_cc62dbd148e58905,80 and above/02 （sj of 01)/0171_20140417_SZi_01_RAY_0090.JPG,0171_20140417_SZi_01_RAY_0090.JPG,.jpg,1092819,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0171_20140417_SZi_01_RAY,filename_trailing_number,medium,1899,1039,JPEG,readable,3fcb9694b884eeabb46195b03f0f0d2629e0ad0f9e0da5f723ac7bb4b1f94caf,unknown,pending,unreviewed,,,1_2.0,labeled,-1,0.0
IMG_add6681025b7e34c,80 and above/02 （sj of 01)/0207_20140417_SZi_01_RAY_0157.JPG,0207_20140417_SZi_01_RAY_0157.JPG,.jpg,5177978,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0207_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,03c46a25fc712d8015f21bcba74db98c623ad63054411fe6103a47e95248f7d0,unknown,pending,unreviewed,,,1_2.0,labeled,-1,0.0
IMG_33d44571ee320a90,80 and above/02 （sj of 01)/0208_20140417_SZi_01_RAY_0158.JPG,0208_20140417_SZi_01_RAY_0158.JPG,.jpg,719934,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0208_20140417_SZi_01_RAY,filename_trailing_number,medium,1773,740,JPEG,readable,a115ce21edcf4482496f92fb869fab10f59dc2f0efb0ed297372450ed78d919f,unknown,pending,unreviewed,,,1_2.0,labeled,0,1.0
IMG_bf29c448b7965c34,80 and above/02 （sj of 01)/0209_20140417_SZi_01_RAY_0159.JPG,0209_20140417_SZi_01_RAY_0159.JPG,.jpg,5159699,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0209_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,df59a6b15524d78ea3cb0ff744cbed306cd45bde191170cf94229085b75d08f2,unknown,pending,unreviewed,,,1_2.0,labeled,-1,0.0
IMG_365230aff6ccf855,80 and above/02 （sj of 01)/0271_20140417_SZi_01_RAY_0276.JPG,0271_20140417_SZi_01_RAY_0276.JPG,.jpg,5792427,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0271_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,efeb298e646c797e13340d0936f1d5f96b96e46527874b5e848ee0bdf2e955a3,unknown,pending,unreviewed,,,1_2.0,labeled,0,0.9940250132151542
IMG_efc367ab53689fa5,80 and above/02 （sj of 01)/0281_20140417_SZi_01_RAY_0312.JPG,0281_20140417_SZi_01_RAY_0312.JPG,.jpg,5925040,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0281_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,2f73715bcabcb0000ac7fa8672e9db36757d5d34d5fcabb31c74e02fae23cfd2,unknown,pending,unreviewed,,,1_2.0,labeled,-1,0.0
IMG_a6bf15b3e23eea6f,80 and above/02 （sj of 01)/0282_20140417_SZi_01_RAY_0313.JPG,0282_20140417_SZi_01_RAY_0313.JPG,.jpg,5841609,1,1,2014-04-17,80_and_above,02 （sj of 01),2.0,01_02,labeled,sj_of,,01::0282_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,b3f72668fd3f201079ba1ccbbfcc3ac6a625751b2a451c9c9eb16457e083bfc5,unknown,pending,unreviewed,,,1_2.0,labeled,0,0.9987578848495322
IMG_0fda01828547a827,80 and above/03/0218_20140417_SZi_01_RAY_0174.JPG,0218_20140417_SZi_01_RAY_0174.JPG,.jpg,5330875,1,1,2014-04-17,80_and_above,03,3.0,01_03,labeled,,,01::0218_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,b47a287bebd859f44ea6e60973b16d430b8387fa59f309002adfa49edfce2b55,unknown,pending,unreviewed,,,1_3.0,labeled,-1,0.0
IMG_6609262ac9b0bddd,80 and above/03/0232_20140417_SZi_01_RAY_0194.JPG,0232_20140417_SZi_01_RAY_0194.JPG,.jpg,777269,1,1,2014-04-17,80_and_above,03,3.0,01_03,labeled,,,01::0232_20140417_SZi_01_RAY,filename_trailing_number,medium,2143,637,JPEG,readable,c86a47d5f6106b5398901daef85e04dc2908c7554ae52ff327a5a12d06e8acd6,unknown,pending,unreviewed,,,1_3.0,labeled,0,1.0
IMG_d96a692b8a5e2cd9,80 and above/03/0233_20140417_SZi_01_RAY_0195.JPG,0233_20140417_SZi_01_RAY_0195.JPG,.jpg,5177384,1,1,2014-04-17,80_and_above,03,3.0,01_03,labeled,,,01::0233_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,e546767b40a7f9023c04dc1a01fdd801f7cb0a0eefc3e6accd9a045ebd51996f,unknown,pending,unreviewed,,,1_3.0,labeled,-1,0.0
IMG_9e6ec1d9efc2e117,80 and above/03/0406_20140417_SZi_01_RAY_0548.JPG,0406_20140417_SZi_01_RAY_0548.JPG,.jpg,998150,1,1,2014-04-17,80_and_above,03,3.0,01_03,labeled,,,01::0406_20140417_SZi_01_RAY,filename_trailing_number,medium,2063,834,JPEG,readable,ffa9da71cfabfe452f664d447791e4629b43477211f4eff781d65f10b8d2b0e6,unknown,pending,unreviewed,,,1_3.0,labeled,-1,0.0
IMG_7801983dd0c37889,80 and above/03/0407_20140417_SZi_01_RAY_0549.JPG,0407_20140417_SZi_01_RAY_0549.JPG,.jpg,5797326,1,1,2014-04-17,80_and_above,03,3.0,01_03,labeled,,,01::0407_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,986039f9f7d00d8e674f9c9786cfe08ee2404dbb09bbc6292846afdcdeaaaa62,unknown,pending,unreviewed,,,1_3.0,labeled,0,0.9978417450420476
IMG_fb51e2b2eae54f2d,80 and above/04/0172_20140417_SZi_01_RAY_0091.JPG,0172_20140417_SZi_01_RAY_0091.JPG,.jpg,1025185,1,1,2014-04-17,80_and_above,04,4.0,01_04,labeled,,,01::0172_20140417_SZi_01_RAY,filename_trailing_number,medium,2119,829,JPEG,readable,0c18a90936dc1521c5454510023a97a29f3be8c63bd4d98bf5d37671c6ebc814,unknown,pending,unreviewed,,,1_4.0,labeled,-1,0.0
