image_id,relative_path,filename,extension,file_size_bytes,session_guess,session_id,date_guess,quality_band,source_group,group_id,label,label_status,relation_note,candidate_groups,sequence_guess,sequence_source,sequence_confidence,width,height,image_format,read_status,sha256,side,crop_status,review_status,candidate_cluster,confirmed_identity
IMG_9b75111fa98ed190,50-59/0196_20140417_SZi_01_RAY_0134.JPG,0196_20140417_SZi_01_RAY_0134.JPG,.jpg,5505731,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0196_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,07e86c84adb150c46d2f99cbac226a6544cd49a548ccc05d442faefa314247c0,unknown,pending,unreviewed,,
IMG_e86db565467d7e99,50-59/0297_20140417_SZi_01_RAY_0335.JPG,0297_20140417_SZi_01_RAY_0335.JPG,.jpg,5679618,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0297_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,9bbc165d4ae4154281a936505a1fe72c912ca56e9dc812642848518bfc1d2984,unknown,pending,unreviewed,,
IMG_64c730134cf42dc7,50-59/0313_20140417_SZi_01_RAY_0361.JPG,0313_20140417_SZi_01_RAY_0361.JPG,.jpg,5660192,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0313_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,ce57c5e9ce0c22fa8f02539bd025f083b2ad31503b93ea2a6dfc02a8e68605aa,unknown,pending,unreviewed,,
IMG_ce1cacf936a8a27c,50-59/0314_20140417_SZi_01_RAY_0362.JPG,0314_20140417_SZi_01_RAY_0362.JPG,.jpg,5658608,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0314_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,c8672f3c4c42b64443e13ec27eb38073b97160b4d60fd2a0ce7ccaa28f2cd2c8,unknown,pending,unreviewed,,
IMG_57513b7bf8cbace9,50-59/0319_20140417_SZi_01_RAY_0367.JPG,0319_20140417_SZi_01_RAY_0367.JPG,.jpg,5789952,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0319_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,dde65b2795367cef1d5349ffdae07cf73c50075b57d0f5391e391baf54441386,unknown,pending,unreviewed,,
IMG_b878b6729bd90fcf,50-59/0320_20140417_SZi_01_RAY_0368.JPG,0320_20140417_SZi_01_RAY_0368.JPG,.jpg,5757424,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0320_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,efd3a16a2190c583608c8dfd0f606fe2941c85314f4a597afd9df9d42c292847,unknown,pending,unreviewed,,
IMG_e559a59dfcaf2076,50-59/0323_20140417_SZi_01_RAY_0373.JPG,0323_20140417_SZi_01_RAY_0373.JPG,.jpg,5349329,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0323_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,d85cf0143d4d4a47692bd9455674ae25bd99eb1414289ba859d07dd6402cb314,unknown,pending,unreviewed,,
IMG_1e0a7a7b13373187,50-59/0335_20140417_SZi_01_RAY_0413.JPG,0335_20140417_SZi_01_RAY_0413.JPG,.jpg,5475347,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0335_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,734ab6e6f9d33e4c6e9d95e64305546947e6a709c8c86e2281fec24574f3b3ce,unknown,pending,unreviewed,,
IMG_6a19033abe7a6b53,50-59/0357_20140417_SZi_01_RAY_0447.JPG,0357_20140417_SZi_01_RAY_0447.JPG,.jpg,5289449,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0357_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,2f311d2c814530dcf7ef9eb604f4125d06a7f174151ad632b3903559a0afad17,unknown,pending,unreviewed,,
IMG_ab2cc16e78fb9a4f,50-59/0384_20140417_SZi_01_RAY_0494.JPG,0384_20140417_SZi_01_RAY_0494.JPG,.jpg,5497835,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0384_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,f63347cc57f0363febbc17bd741451a228508ca3d7ab6baa20437241eb12e12c,unknown,pending,unreviewed,,
IMG_0606d024dae70dd8,50-59/0418_20140417_SZi_01_RAY_0568.JPG,0418_20140417_SZi_01_RAY_0568.JPG,.jpg,5836464,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0418_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,e4aac06c7141244d9f7622769a014d7ec11c403022236d75cde7b368de6f6944,unknown,pending,unreviewed,,
IMG_4830cce7574312c2,50-59/0419_20140417_SZi_01_RAY_0569.JPG,0419_20140417_SZi_01_RAY_0569.JPG,.jpg,5890828,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0419_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,46c29b24557b80e1fd6393b5e494341694c92262ff5163f7a24b34b55871f23e,unknown,pending,unreviewed,,
IMG_ded4a16b13f21655,50-59/0423_20140417_SZi_01_RAY_0581.JPG,0423_20140417_SZi_01_RAY_0581.JPG,.jpg,5672330,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0423_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,a3fe454dec03cac309ea8e98006b1810bad13f28407924c258dc784cc606ac9c,unknown,pending,unreviewed,,
IMG_4121d7adae978630,50-59/0424_20140417_SZi_01_RAY_0589.JPG,0424_20140417_SZi_01_RAY_0589.JPG,.jpg,5760095,01,01,2014-04-17,50_59,50-59,,,ignored,,,01::0424_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,25981ed65f204744a1250280b44fe76be648b6517bce20d6ece3a7709c9b1c5b,unknown,pending,unreviewed,,
IMG_3a1ea536ef0fa9cd,60-69/0141_20140417_SZi_01_RAY_0004.JPG,0141_20140417_SZi_01_RAY_0004.JPG,.jpg,5601867,01,01,2014-04-17,60_69,60-69,,,ignored,,,01::0141_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,8cc5eeefee6e38978a1751129e771426106a9a8cf7abfe81f2a55823dceb7c97,unknown,pending,unreviewed,,
IMG_8645d00456d132c0,60-69/0146_20140417_SZi_01_RAY_0015.JPG,0146_20140417_SZi_01_RAY_0015.JPG,.jpg,5287931,01,01,2014-04-17,60_69,60-69,,,ignored,,,01::0146_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,79edd93c8db2e278130ef196b84b130daf1271fbef4d82df409ed61a963feb8b,unknown,pending,unreviewed,,
IMG_a6320b848d9823c9,60-69/0147_20140417_SZi_01_RAY_0017.JPG,0147_20140417_SZi_01_RAY_0017.JPG,.jpg,5519812,01,01,2014-04-17,60_69,60-69,,,ignored,,,01::0147_20140417_SZi_01_RAY,filename_trailing_number,medium,4896,3264,JPEG,readable,74f56e0f613026e3f523f6e41749a0f17d76943e888fe316a24d2d7ca3a49a76,unknown,pending,unreviewed,,
