scenario,n_query,n_gallery,recall@1,recall@5,recall@10,mAP
scenario01,1184,2107,0.0033783783783783786,0.0059121621621621625,0.015202702702702704,0.0053460826898326895
scenario02,568,66,0.0,0.0,0.0,0.0
scenario03,616,2041,0.003246753246753247,0.00974025974025974,0.011363636363636364,0.0056998556998557
scenario04,280,831,0.0,0.0035714285714285713,0.0035714285714285713,0.0007142857142857143
scenario05,306,665,0.0,0.0,0.0,0.0
scenario06,501,708,0.001996007984031936,0.00998003992015968,0.02594810379241517,0.006067230618128821
scenario07,274,403,0.0,0.04744525547445255,0.072992700729927,0.02146043332174719
scenario08,282,338,0.010638297872340425,0.028368794326241134,0.06382978723404255,0.01990037149611618
scenario09,102,319,0.00980392156862745,0.029411764705882353,0.17647058823529413,0.03626672891378774
scenario10,310,111,0.016129032258064516,0.09032258064516129,0.17096774193548386,0.04972990271377368
