query_identity,n_query,n_hit,mean_top1_score
happywhale__003fd9e237f5,1,0,0.8871354460716248
happywhale__00ccfc1f8b06,1,1,0.913359522819519
happywhale__018aaba90625,1,0,0.8908625841140747
happywhale__02947a94c3fc,1,0,0.9067502021789551
happywhale__02ac4e3ca497,1,0,0.9197790622711182
happywhale__02da0e68dccd,1,0,0.8825548887252808
happywhale__03c879f7c6d5,1,0,0.8787305355072021
happywhale__04c451d68284,1,0,0.9292540550231934
happywhale__04cc97bc74f0,1,0,0.9137238264083862
happywhale__0611c23e6914,1,0,0.9107959270477295
happywhale__06ef73efe924,1,0,0.7283732295036316
happywhale__077a5cc373ed,1,0,0.7906464338302612
happywhale__07a477b6a091,1,0,0.8938586711883545
happywhale__0b180ad0afa2,1,0,0.8361201286315918
happywhale__0b2973489685,1,0,0.8864443898200989
happywhale__0b3fdeb134d3,1,0,0.8782339692115784
happywhale__0bcb911c63d1,1,0,0.8997655510902405
happywhale__0c7efa8795f5,1,0,0.9014325141906738
happywhale__0d73b01c5e77,1,0,0.8606240153312683
happywhale__0dbe0c61bb2f,1,0,0.8661970496177673
happywhale__0e4660baf3f1,1,0,0.9274228811264038
happywhale__0e6d73fc0d60,1,0,0.9028102159500122
happywhale__0f72263cd384,1,0,0.9033428430557251
happywhale__10e758eb503a,1,1,0.9001234769821167
happywhale__114207cab555,1,0,0.8398537039756775
happywhale__1191a41ee0f4,1,1,0.9173505306243896
happywhale__122dc7f46c24,1,0,0.837557315826416
happywhale__124534ac8131,1,0,0.8806482553482056
happywhale__136b6c84830f,1,0,0.9343348741531372
happywhale__1492507238d8,1,0,0.6964175701141357
happywhale__15b7d08184ca,1,1,0.9239675998687744
happywhale__15d96d5d42c2,1,0,0.8343087434768677
happywhale__15f06fdf57fa,1,0,0.8386869430541992
happywhale__162420404da3,1,0,0.9220079183578491
happywhale__171aa23102f3,1,0,0.9069395661354065
happywhale__17ae98f695f2,1,0,0.8508672118186951
happywhale__180c0ab04dcd,1,1,0.881974458694458
happywhale__18dbd44823c7,1,0,0.9191723465919495
happywhale__18efa8d0b472,1,0,0.714252233505249
happywhale__18f270f6ca16,1,1,0.9387799501419067
happywhale__19c2bfaa0819,1,0,0.8850641846656799
happywhale__19fbb960f07d,1,0,0.8169878125190735
happywhale__1a20c92ffe68,1,0,0.8144049644470215
happywhale__1a65772df6a9,1,0,0.7632886171340942
happywhale__1a818ec2ac9e,1,1,0.8846200704574585
happywhale__1ac5332483ae,1,0,0.8833436965942383
happywhale__1ae5c5a035b5,1,0,0.914381742477417
happywhale__1afc82b009ea,1,0,0.9151630401611328
happywhale__1c49644ca9b3,1,0,0.8188637495040894
happywhale__1e802c3294cc,1,0,0.81553053855896
happywhale__1f131241029a,1,0,0.8487321734428406
happywhale__1f2ec9f8f1c9,1,0,0.8940127491950989
happywhale__1ff6d285b427,1,0,0.7848776578903198
happywhale__20312a4e3881,1,0,0.8360997438430786
happywhale__208b91b1ca2b,1,0,0.9013811349868774
happywhale__20916df9f20d,1,0,0.8446497321128845
happywhale__211957ad49f1,1,0,0.901419997215271
happywhale__21caab533d12,1,0,0.888672947883606
happywhale__2280b5fcc6c2,1,0,0.8630635738372803
happywhale__22c1eb2c8af4,1,0,0.8340319395065308
happywhale__22df13dec9ef,1,0,0.8752745389938354
happywhale__2372d0d26c20,1,0,0.9059466123580933
happywhale__262f464ee602,1,0,0.8306407928466797
happywhale__26974d1e8965,1,0,0.9273329973220825
happywhale__281504409737,1,0,0.9200602173805237
happywhale__290f46e5130c,1,0,0.7352065443992615
happywhale__2aa3e856e46e,1,0,0.8745096325874329
happywhale__2c45eacc8a8f,1,0,0.9186227321624756
happywhale__2ca0b9b39092,1,1,0.8528019785881042
happywhale__2e0b381d3467,1,0,0.9269861578941345
happywhale__2e268c8dbd31,1,0,0.8315959572792053
happywhale__2fdb3a09dc9c,1,0,0.8891080617904663
happywhale__3028ee318e75,1,0,0.8605948686599731
happywhale__314a574f87c9,1,0,0.9317771196365356
happywhale__31f748b822f4,1,0,0.880710244178772
happywhale__322a18725969,1,0,0.8038924932479858
happywhale__32d3b30b473f,1,1,0.8724778890609741
happywhale__32eeef0dc892,1,1,0.8927553296089172
happywhale__32f6cc779cd7,1,0,0.8274732828140259
happywhale__337a339b042b,1,1,0.9147904515266418
happywhale__35f898e6595e,1,0,0.8965733647346497
happywhale__366200ff5b49,1,0,0.9009369611740112
happywhale__3783dae41629,1,0,0.9434691667556763
happywhale__37c7aba965a5,1,1,0.8907967805862427
happywhale__387f17f0676e,1,0,0.8076110482215881
happywhale__38c2a8e40437,1,1,0.9021624326705933
happywhale__39c50bb4cb13,1,0,0.883356511592865
happywhale__3a055fad1478,1,0,0.8279622793197632
happywhale__3a608b68bde4,1,0,0.8928730487823486
happywhale__3c346fc4a109,1,0,0.890000581741333
happywhale__3cbc20a1fbfb,1,0,0.7783990502357483
happywhale__3cbfd98eea8f,1,0,0.8132995367050171
happywhale__3d8ae153f3d7,1,0,0.8876289129257202
happywhale__3fd298d255d7,1,0,0.8430789709091187
happywhale__403dfea4e4bb,1,0,0.8620319962501526
happywhale__4051086ed105,1,0,0.8180750608444214
happywhale__423cd19d6b7e,1,0,0.8773149847984314
happywhale__43946ac5a865,1,0,0.894140899181366
happywhale__445270d9ad52,1,0,0.9299843311309814
happywhale__46414154efbc,1,0,0.7951864004135132
happywhale__46988583261a,1,0,0.9556045532226562
happywhale__47e591d9b820,1,0,0.8829814195632935
happywhale__480677e8cf20,1,0,0.8661209344863892
happywhale__48936da899c3,1,0,0.8443559408187866
happywhale__4905c4399fdf,1,1,0.8768563270568848
happywhale__497a6a47ddc9,1,0,0.8767798542976379
happywhale__4a67e64bd3b7,1,0,0.9245612621307373
happywhale__4a94b1849f80,1,0,0.9167503118515015
happywhale__4b00fe572063,1,0,0.9213135242462158
happywhale__4b234d0d53c1,1,0,0.9337680339813232
happywhale__4b3320581310,1,0,0.8866549730300903
happywhale__4b8534134eb8,1,0,0.9254630208015442
happywhale__4b9bc905af99,1,0,0.8648998737335205
happywhale__4d18b20adff3,1,0,0.8404003381729126
happywhale__4ddb2eeb5efb,1,0,0.8793599605560303
happywhale__51081e431bca,1,0,0.7825281620025635
happywhale__51c1774c4f6e,1,0,0.8863643407821655
happywhale__51db5a85aaf7,1,0,0.7584090828895569
happywhale__5217e9a77c76,1,0,0.9015167951583862
happywhale__52a2c490b25a,1,1,0.9140534996986389
happywhale__538554bfc6ca,1,0,0.7898594737052917
happywhale__54912b16ef72,1,1,0.8766146898269653
happywhale__549658000b20,1,0,0.7706530094146729
happywhale__54e54ab37a82,1,0,0.8548364043235779
happywhale__56ae9c69c443,1,0,0.6959235668182373
happywhale__58555c55b575,1,1,0.9191731214523315
happywhale__586ef16f4536,1,0,0.7988632917404175
happywhale__589bc50dee58,1,0,0.8627626299858093
happywhale__58a420d1d892,1,0,0.9288313388824463
happywhale__58c43f7cc15d,1,0,0.8939653038978577
happywhale__59bb4b4ec9e0,1,0,0.926594078540802
happywhale__5ac053677ed1,1,0,0.8749547004699707
happywhale__5b8a39979dc2,1,0,0.7693623304367065
happywhale__5bf17305f073,1,1,0.8866497278213501
happywhale__5eb72a46aa6c,1,0,0.8929794430732727
happywhale__5f48c2296a0e,1,0,0.9021973609924316
happywhale__5fc809d9e819,1,0,0.8463596701622009
happywhale__60008f293a2b,1,0,0.8739802837371826
happywhale__600ab1de92d9,1,0,0.9332653284072876
happywhale__617368452785,1,0,0.8242892026901245
happywhale__626fc1a305f3,1,1,0.9211397171020508
happywhale__6398f8680938,1,0,0.9075711369514465
happywhale__644db6f31843,1,0,0.8306258916854858
happywhale__64c398234574,1,0,0.9253053665161133
happywhale__66423582531a,1,0,0.8486537933349609
happywhale__67355c25f841,1,0,0.9354002475738525
happywhale__695bb814ce56,1,0,0.9347054958343506
happywhale__6a3af6e0c55c,1,0,0.7704124450683594
happywhale__6a6fa3ec3810,1,0,0.8559753894805908
happywhale__6ad3713dda3a,1,0,0.9277312755584717
happywhale__6bf9810d3632,1,0,0.8338945508003235
happywhale__6c431160f03b,1,0,0.8526018857955933
happywhale__6cbfecf203a5,1,0,0.9078431725502014
happywhale__6ce472444934,1,0,0.9116447567939758
happywhale__6da7ae3c5d54,1,0,0.862951397895813
happywhale__6e8b8fed87af,1,0,0.8613396883010864
happywhale__6f47542558a1,1,0,0.7342248558998108
happywhale__6f632b846891,1,1,0.9024001359939575
happywhale__6fe44e67461d,1,0,0.914251446723938
happywhale__7053d3c812b5,1,0,0.9204784631729126
happywhale__70858f1edf62,1,0,0.8933286666870117
happywhale__70cd1a7d97a7,1,0,0.9159071445465088
happywhale__735496dc7e64,1,0,0.8983856439590454
happywhale__7355eee87d75,1,0,0.9059539437294006
happywhale__7362d7a01d00,1,0,0.8938844799995422
happywhale__73e13d5e4ada,1,0,0.9410765767097473
happywhale__740ce589ff2b,1,0,0.9045460224151611
happywhale__7593d2aee842,1,0,0.9178731441497803
happywhale__75d677cef7a7,1,0,0.9108842611312866
happywhale__7661d208bc83,1,0,0.8962725400924683
happywhale__76b5aad6b790,1,0,0.9234502911567688
happywhale__77410a623426,1,0,0.7754537463188171
happywhale__778419da2957,1,0,0.8777189254760742
happywhale__783f357cf2f9,1,0,0.9263185262680054
happywhale__7845337998d6,1,1,0.7591235637664795
happywhale__79385e461dd1,1,1,0.8688427209854126
happywhale__79bb59a9ddc8,1,1,0.8170524835586548
happywhale__79eceab9ebee,1,0,0.8564938902854919
happywhale__7a58308da755,1,0,0.895681619644165
happywhale__7a8863eb9227,1,0,0.890360951423645
happywhale__7aa5641e5acc,1,0,0.9090216159820557
happywhale__7ace4d166c97,1,0,0.9032593965530396
happywhale__7bdf83ff6076,1,0,0.8746488094329834
happywhale__7bedeacdc4d2,1,0,0.7924731969833374
happywhale__7ca409a5c15b,1,0,0.9005973935127258
happywhale__7d07bf29721f,1,0,0.75802081823349
happywhale__7e147a96ad00,1,0,0.8514523506164551
happywhale__7fdeba948ee8,1,1,0.8847651481628418
happywhale__80d282ac5d45,1,0,0.8756198287010193
happywhale__80d72641f44d,1,0,0.7946549654006958
happywhale__812be36c2aef,1,0,0.896385669708252
