query_anchor,query_session,query_group,rank,candidate,candidate_session,candidate_group,candidate_is_pool,candidate_same_group,score,review,reviewer,note
IMG_ea3c050ed8c0f117,1,01_5.0,1,IMG_ae391e2574fc9dc0,1,01_5.0,False,True,0.7412952184677124,,,
IMG_ea3c050ed8c0f117,1,01_5.0,2,IMG_fb51e2b2eae54f2d,1,01_4.0,False,False,0.7217520475387573,,,
IMG_ea3c050ed8c0f117,1,01_5.0,3,IMG_31846f0fbdb9d981,1,01_10.0,False,False,0.6426923274993896,,,
IMG_ea3c050ed8c0f117,1,01_5.0,4,IMG_cfd8413c8fd7adb5,1,01_13.0,False,False,0.6002092361450195,,,
IMG_ea3c050ed8c0f117,1,01_5.0,5,IMG_33d44571ee320a90,1,01_2.0,False,False,0.5791493654251099,,,
IMG_ea3c050ed8c0f117,1,01_5.0,6,IMG_7cad6c99eaf7ed2b,1,01_6.0,False,False,0.575503945350647,,,
IMG_ea3c050ed8c0f117,1,01_5.0,7,IMG_c28c684416b5dbd8,1,01_4.0,False,False,0.5735348463058472,,,
IMG_ea3c050ed8c0f117,1,01_5.0,8,IMG_cc62dbd148e58905,1,01_2.0,False,False,0.5676933526992798,,,
IMG_ea3c050ed8c0f117,1,01_5.0,9,IMG_79691a75f9b33de6,1,01_14.0,False,False,0.5655670762062073,,,
IMG_ea3c050ed8c0f117,1,01_5.0,10,IMG_291e2277785cff7b,1,01_11.0,False,False,0.5484987497329712,,,
IMG_291e2277785cff7b,1,01_11.0,1,IMG_cc62dbd148e58905,1,01_2.0,False,False,0.7337556481361389,,,
IMG_291e2277785cff7b,1,01_11.0,2,IMG_7cad6c99eaf7ed2b,1,01_6.0,False,False,0.666267454624176,,,
IMG_291e2277785cff7b,1,01_11.0,3,IMG_fb51e2b2eae54f2d,1,01_4.0,False,False,0.6581600904464722,,,
IMG_291e2277785cff7b,1,01_11.0,4,IMG_cfd8413c8fd7adb5,1,01_13.0,False,False,0.652481198310852,,,
IMG_291e2277785cff7b,1,01_11.0,5,IMG_79691a75f9b33de6,1,01_14.0,False,False,0.6415241360664368,,,
IMG_291e2277785cff7b,1,01_11.0,6,IMG_ae391e2574fc9dc0,1,01_5.0,False,False,0.6177529096603394,,,
IMG_291e2277785cff7b,1,01_11.0,7,IMG_a3c715cc80ef44d8,1,01_9.0,False,False,0.5553914904594421,,,
IMG_291e2277785cff7b,1,01_11.0,8,IMG_31846f0fbdb9d981,1,01_10.0,False,False,0.553283154964447,,,
IMG_291e2277785cff7b,1,01_11.0,9,IMG_ea3c050ed8c0f117,1,01_5.0,False,False,0.5484987497329712,,,
IMG_291e2277785cff7b,1,01_11.0,10,IMG_c28c684416b5dbd8,1,01_4.0,False,False,0.5357064008712769,,,
IMG_87c7629244e02709,1,01_12.0,1,IMG_7cad6c99eaf7ed2b,1,01_6.0,False,False,0.5701136589050293,,,
IMG_87c7629244e02709,1,01_12.0,2,IMG_cc62dbd148e58905,1,01_2.0,False,False,0.5328269600868225,,,
IMG_87c7629244e02709,1,01_12.0,3,IMG_291e2277785cff7b,1,01_11.0,False,False,0.5074979066848755,,,
IMG_87c7629244e02709,1,01_12.0,4,IMG_cfd8413c8fd7adb5,1,01_13.0,False,False,0.5066696405410767,,,
IMG_87c7629244e02709,1,01_12.0,5,IMG_ae391e2574fc9dc0,1,01_5.0,False,False,0.46674859523773193,,,
IMG_87c7629244e02709,1,01_12.0,6,IMG_fb51e2b2eae54f2d,1,01_4.0,False,False,0.45420458912849426,,,
IMG_87c7629244e02709,1,01_12.0,7,IMG_79691a75f9b33de6,1,01_14.0,False,False,0.4384635090827942,,,
IMG_87c7629244e02709,1,01_12.0,8,IMG_ea3c050ed8c0f117,1,01_5.0,False,False,0.43078988790512085,,,
IMG_87c7629244e02709,1,01_12.0,9,IMG_31846f0fbdb9d981,1,01_10.0,False,False,0.4204549193382263,,,
IMG_87c7629244e02709,1,01_12.0,10,IMG_f57b55836d4dabc0,1,01_7.0,False,False,0.3766539692878723,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,1,IMG_79691a75f9b33de6,1,01_14.0,False,False,0.8123028874397278,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,2,IMG_31846f0fbdb9d981,1,01_10.0,False,False,0.7497432827949524,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,3,IMG_ae391e2574fc9dc0,1,01_5.0,False,False,0.7256544828414917,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,4,IMG_a3c715cc80ef44d8,1,01_9.0,False,False,0.7249526381492615,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,5,IMG_fb51e2b2eae54f2d,1,01_4.0,False,False,0.7085062861442566,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,6,IMG_291e2277785cff7b,1,01_11.0,False,False,0.652481198310852,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,7,IMG_7cad6c99eaf7ed2b,1,01_6.0,False,False,0.6077995896339417,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,8,IMG_ea3c050ed8c0f117,1,01_5.0,False,False,0.6002092361450195,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,9,IMG_cc62dbd148e58905,1,01_2.0,False,False,0.5930813550949097,,,
IMG_cfd8413c8fd7adb5,1,01_13.0,10,IMG_c28c684416b5dbd8,1,01_4.0,False,False,0.5468301177024841,,,
IMG_79691a75f9b33de6,1,01_14.0,1,IMG_a3c715cc80ef44d8,1,01_9.0,False,False,0.8442786931991577,,,
IMG_79691a75f9b33de6,1,01_14.0,2,IMG_cfd8413c8fd7adb5,1,01_13.0,False,False,0.8123028874397278,,,
