query_anchor,query_session,query_group,query_filename,rank,candidate,candidate_session,candidate_group,candidate_is_pool,candidate_same_group,candidate_score,candidate_filename
IMG_ea3c050ed8c0f117,1,01_5.0,0143_20140417_SZi_01_RAY_0010.JPG,"range(1, 11)","[""IMG_ae391e2574fc9dc0"", ""IMG_fb51e2b2eae54f2d"", ""IMG_31846f0fbdb9d981"", ""IMG_cfd8413c8fd7adb5"", ""IMG_33d44571ee320a90"", ""IMG_7cad6c99eaf7ed2b"", ""IMG_c28c684416b5dbd8"", ""IMG_cc62dbd148e58905"", ""IMG_79691a75f9b33de6"", ""IMG_291e2277785cff7b""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_5.0"", ""01_4.0"", ""01_10.0"", ""01_13.0"", ""01_2.0"", ""01_6.0"", ""01_4.0"", ""01_2.0"", ""01_14.0"", ""01_11.0""]","[false, false, false, false, false, false, false, false, false, false]","[true, false, false, false, false, false, false, false, false, false]","[0.7412952184677124, 0.7217520475387573, 0.6426923274993896, 0.6002092361450195, 0.5791493654251099, 0.575503945350647, 0.5735348463058472, 0.5676933526992798, 0.5655670762062073, 0.5484987497329712]","['0246_20140417_SZi_01_RAY_0234.JPG', '0172_20140417_SZi_01_RAY_0091.JPG', '0394_20140417_SZi_01_RAY_0517.JPG', '0351_20140417_SZi_01_RAY_0439.JPG', '0208_20140417_SZi_01_RAY_0158.JPG', '0249_20140417_SZi_01_RAY_0237.JPG', '0236_20140417_SZi_01_RAY_0205.JPG', '0171_20140417_SZi_01_RAY_0090.JPG', '0341_20140417_SZi_01_RAY_0426.JPG', '0148_20140417_SZi_01_RAY_0018.JPG']"
IMG_291e2277785cff7b,1,01_11.0,0148_20140417_SZi_01_RAY_0018.JPG,"range(1, 11)","[""IMG_cc62dbd148e58905"", ""IMG_7cad6c99eaf7ed2b"", ""IMG_fb51e2b2eae54f2d"", ""IMG_cfd8413c8fd7adb5"", ""IMG_79691a75f9b33de6"", ""IMG_ae391e2574fc9dc0"", ""IMG_a3c715cc80ef44d8"", ""IMG_31846f0fbdb9d981"", ""IMG_ea3c050ed8c0f117"", ""IMG_c28c684416b5dbd8""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_2.0"", ""01_6.0"", ""01_4.0"", ""01_13.0"", ""01_14.0"", ""01_5.0"", ""01_9.0"", ""01_10.0"", ""01_5.0"", ""01_4.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false]","[0.7337556481361389, 0.666267454624176, 0.6581600904464722, 0.652481198310852, 0.6415241360664368, 0.6177529096603394, 0.5553914904594421, 0.553283154964447, 0.5484987497329712, 0.5357064008712769]","['0171_20140417_SZi_01_RAY_0090.JPG', '0249_20140417_SZi_01_RAY_0237.JPG', '0172_20140417_SZi_01_RAY_0091.JPG', '0351_20140417_SZi_01_RAY_0439.JPG', '0341_20140417_SZi_01_RAY_0426.JPG', '0246_20140417_SZi_01_RAY_0234.JPG', '0395_20140417_SZi_01_RAY_0518.JPG', '0394_20140417_SZi_01_RAY_0517.JPG', '0143_20140417_SZi_01_RAY_0010.JPG', '0236_20140417_SZi_01_RAY_0205.JPG']"
IMG_87c7629244e02709,1,01_12.0,0333_20140417_SZi_01_RAY_0403.JPG,"range(1, 11)","[""IMG_7cad6c99eaf7ed2b"", ""IMG_cc62dbd148e58905"", ""IMG_291e2277785cff7b"", ""IMG_cfd8413c8fd7adb5"", ""IMG_ae391e2574fc9dc0"", ""IMG_fb51e2b2eae54f2d"", ""IMG_79691a75f9b33de6"", ""IMG_ea3c050ed8c0f117"", ""IMG_31846f0fbdb9d981"", ""IMG_f57b55836d4dabc0""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_6.0"", ""01_2.0"", ""01_11.0"", ""01_13.0"", ""01_5.0"", ""01_4.0"", ""01_14.0"", ""01_5.0"", ""01_10.0"", ""01_7.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false]","[0.5701136589050293, 0.5328269600868225, 0.5074979066848755, 0.5066696405410767, 0.46674859523773193, 0.45420458912849426, 0.4384635090827942, 0.43078988790512085, 0.4204549193382263, 0.3766539692878723]","['0249_20140417_SZi_01_RAY_0237.JPG', '0171_20140417_SZi_01_RAY_0090.JPG', '0148_20140417_SZi_01_RAY_0018.JPG', '0351_20140417_SZi_01_RAY_0439.JPG', '0246_20140417_SZi_01_RAY_0234.JPG', '0172_20140417_SZi_01_RAY_0091.JPG', '0341_20140417_SZi_01_RAY_0426.JPG', '0143_20140417_SZi_01_RAY_0010.JPG', '0394_20140417_SZi_01_RAY_0517.JPG', '0300_20140417_SZi_01_RAY_0340.JPG']"
IMG_cfd8413c8fd7adb5,1,01_13.0,0351_20140417_SZi_01_RAY_0439.JPG,"range(1, 11)","[""IMG_79691a75f9b33de6"", ""IMG_31846f0fbdb9d981"", ""IMG_ae391e2574fc9dc0"", ""IMG_a3c715cc80ef44d8"", ""IMG_fb51e2b2eae54f2d"", ""IMG_291e2277785cff7b"", ""IMG_7cad6c99eaf7ed2b"", ""IMG_ea3c050ed8c0f117"", ""IMG_cc62dbd148e58905"", ""IMG_c28c684416b5dbd8""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_14.0"", ""01_10.0"", ""01_5.0"", ""01_9.0"", ""01_4.0"", ""01_11.0"", ""01_6.0"", ""01_5.0"", ""01_2.0"", ""01_4.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false]","[0.8123028874397278, 0.7497432827949524, 0.7256544828414917, 0.7249526381492615, 0.7085062861442566, 0.652481198310852, 0.6077995896339417, 0.6002092361450195, 0.5930813550949097, 0.5468301177024841]","['0341_20140417_SZi_01_RAY_0426.JPG', '0394_20140417_SZi_01_RAY_0517.JPG', '0246_20140417_SZi_01_RAY_0234.JPG', '0395_20140417_SZi_01_RAY_0518.JPG', '0172_20140417_SZi_01_RAY_0091.JPG', '0148_20140417_SZi_01_RAY_0018.JPG', '0249_20140417_SZi_01_RAY_0237.JPG', '0143_20140417_SZi_01_RAY_0010.JPG', '0171_20140417_SZi_01_RAY_0090.JPG', '0236_20140417_SZi_01_RAY_0205.JPG']"
IMG_79691a75f9b33de6,1,01_14.0,0341_20140417_SZi_01_RAY_0426.JPG,"range(1, 11)","[""IMG_a3c715cc80ef44d8"", ""IMG_cfd8413c8fd7adb5"", ""IMG_31846f0fbdb9d981"", ""IMG_ae391e2574fc9dc0"", ""IMG_fb51e2b2eae54f2d"", ""IMG_291e2277785cff7b"", ""IMG_89787964d002fdf6"", ""IMG_c28c684416b5dbd8"", ""IMG_9e6ec1d9efc2e117"", ""IMG_7cad6c99eaf7ed2b""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_9.0"", ""01_13.0"", ""01_10.0"", ""01_5.0"", ""01_4.0"", ""01_11.0"", ""01_1.0"", ""01_4.0"", ""01_3.0"", ""01_6.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false]","[0.8442786931991577, 0.8123028874397278, 0.7325598001480103, 0.711300253868103, 0.7022044658660889, 0.6415241360664368, 0.6271037459373474, 0.6212649941444397, 0.6192210912704468, 0.6168761253356934]","['0395_20140417_SZi_01_RAY_0518.JPG', '0351_20140417_SZi_01_RAY_0439.JPG', '0394_20140417_SZi_01_RAY_0517.JPG', '0246_20140417_SZi_01_RAY_0234.JPG', '0172_20140417_SZi_01_RAY_0091.JPG', '0148_20140417_SZi_01_RAY_0018.JPG', '0185_20140417_SZi_01_RAY_0113.JPG', '0236_20140417_SZi_01_RAY_0205.JPG', '0406_20140417_SZi_01_RAY_0548.JPG', '0249_20140417_SZi_01_RAY_0237.JPG']"
IMG_bcf3d9dd1cb6b9e2,1,01_1.0,0180_20140417_SZi_01_RAY_0108.JPG,"range(1, 11)","[""IMG_365230aff6ccf855"", ""IMG_7801983dd0c37889"", ""IMG_c9089614b6a55260"", ""IMG_d96a692b8a5e2cd9"", ""IMG_4e11a152cf6d0958"", ""IMG_bf29c448b7965c34"", ""IMG_a6bf15b3e23eea6f"", ""IMG_add6681025b7e34c"", ""IMG_0fda01828547a827"", ""IMG_a1b65ba015bf8a38""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_2.0"", ""01_3.0"", ""01_2.0"", ""01_3.0"", ""01_8.0"", ""01_2.0"", ""01_2.0"", ""01_2.0"", ""01_3.0"", ""01_2.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false]","[0.8587027192115784, 0.8397733569145203, 0.8384222388267517, 0.833372175693512, 0.8281459212303162, 0.8097629547119141, 0.7923630475997925, 0.7799723744392395, 0.7771093845367432, 0.7644688487052917]","['0271_20140417_SZi_01_RAY_0276.JPG', '0407_20140417_SZi_01_RAY_0549.JPG', '0163_20140417_SZi_01_RAY_0060.JPG', '0233_20140417_SZi_01_RAY_0195.JPG', '0316_20140417_SZi_01_RAY_0364.JPG', '0209_20140417_SZi_01_RAY_0159.JPG', '0282_20140417_SZi_01_RAY_0313.JPG', '0207_20140417_SZi_01_RAY_0157.JPG', '0218_20140417_SZi_01_RAY_0174.JPG', '0170_20140417_SZi_01_RAY_0089.JPG']"
IMG_89787964d002fdf6,1,01_1.0,0185_20140417_SZi_01_RAY_0113.JPG,"range(1, 11)","[""IMG_911bee6b3260a458"", ""IMG_9e6ec1d9efc2e117"", ""IMG_7801983dd0c37889"", ""IMG_79691a75f9b33de6"", ""IMG_c28c684416b5dbd8"", ""IMG_bcf3d9dd1cb6b9e2"", ""IMG_365230aff6ccf855"", ""IMG_a1b65ba015bf8a38"", ""IMG_bf29c448b7965c34"", ""IMG_c9089614b6a55260""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_8.0"", ""01_3.0"", ""01_3.0"", ""01_14.0"", ""01_4.0"", ""01_1.0"", ""01_2.0"", ""01_2.0"", ""01_2.0"", ""01_2.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, true, false, false, false, false]","[0.7144762873649597, 0.7132709622383118, 0.6430569887161255, 0.6271037459373474, 0.5763716101646423, 0.5750219821929932, 0.5617809295654297, 0.5561477541923523, 0.5532170534133911, 0.5522910952568054]","['0390_20140417_SZi_01_RAY_0507.JPG', '0406_20140417_SZi_01_RAY_0548.JPG', '0407_20140417_SZi_01_RAY_0549.JPG', '0341_20140417_SZi_01_RAY_0426.JPG', '0236_20140417_SZi_01_RAY_0205.JPG', '0180_20140417_SZi_01_RAY_0108.JPG', '0271_20140417_SZi_01_RAY_0276.JPG', '0170_20140417_SZi_01_RAY_0089.JPG', '0209_20140417_SZi_01_RAY_0159.JPG', '0163_20140417_SZi_01_RAY_0060.JPG']"
IMG_6dc8f895e31c5f95,1,01_1.0,0213_20140417_SZi_01_RAY_0168.JPG,"range(1, 11)","[""IMG_0fda01828547a827"", ""IMG_bf29c448b7965c34"", ""IMG_add6681025b7e34c"", ""IMG_d96a692b8a5e2cd9"", ""IMG_365230aff6ccf855"", ""IMG_bcf3d9dd1cb6b9e2"", ""IMG_a6bf15b3e23eea6f"", ""IMG_c9089614b6a55260"", ""IMG_a1b65ba015bf8a38"", ""IMG_7801983dd0c37889""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_3.0"", ""01_2.0"", ""01_2.0"", ""01_3.0"", ""01_2.0"", ""01_1.0"", ""01_2.0"", ""01_2.0"", ""01_2.0"", ""01_3.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, true, false, false, false, false]","[0.829064667224884, 0.7769487500190735, 0.7657995820045471, 0.7616177797317505, 0.6820427775382996, 0.6805492043495178, 0.6740652918815613, 0.6699914932250977, 0.6508371829986572, 0.6419705152511597]","['0218_20140417_SZi_01_RAY_0174.JPG', '0209_20140417_SZi_01_RAY_0159.JPG', '0207_20140417_SZi_01_RAY_0157.JPG', '0233_20140417_SZi_01_RAY_0195.JPG', '0271_20140417_SZi_01_RAY_0276.JPG', '0180_20140417_SZi_01_RAY_0108.JPG', '0282_20140417_SZi_01_RAY_0313.JPG', '0163_20140417_SZi_01_RAY_0060.JPG', '0170_20140417_SZi_01_RAY_0089.JPG', '0407_20140417_SZi_01_RAY_0549.JPG']"
IMG_c9089614b6a55260,1,01_2.0,0163_20140417_SZi_01_RAY_0060.JPG,"range(1, 11)","[""IMG_365230aff6ccf855"", ""IMG_a1b65ba015bf8a38"", ""IMG_4e11a152cf6d0958"", ""IMG_c061217b1f39deb1"", ""IMG_bcf3d9dd1cb6b9e2"", ""IMG_7801983dd0c37889"", ""IMG_a6bf15b3e23eea6f"", ""IMG_d96a692b8a5e2cd9"", ""IMG_0fda01828547a827"", ""IMG_bf29c448b7965c34""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_2.0"", ""01_2.0"", ""01_8.0"", ""01_4.0"", ""01_1.0"", ""01_3.0"", ""01_2.0"", ""01_3.0"", ""01_3.0"", ""01_2.0""]","[false, false, false, false, false, false, false, false, false, false]","[true, true, false, false, false, false, true, false, false, true]","[0.9161804914474487, 0.8863680958747864, 0.8599480986595154, 0.8475764989852905, 0.8384222388267517, 0.8194762468338013, 0.8104962110519409, 0.8099595308303833, 0.80619877576828, 0.7780343294143677]","['0271_20140417_SZi_01_RAY_0276.JPG', '0170_20140417_SZi_01_RAY_0089.JPG', '0316_20140417_SZi_01_RAY_0364.JPG', '0269_20140417_SZi_01_RAY_0272.JPG', '0180_20140417_SZi_01_RAY_0108.JPG', '0407_20140417_SZi_01_RAY_0549.JPG', '0282_20140417_SZi_01_RAY_0313.JPG', '0233_20140417_SZi_01_RAY_0195.JPG', '0218_20140417_SZi_01_RAY_0174.JPG', '0209_20140417_SZi_01_RAY_0159.JPG']"
IMG_a1b65ba015bf8a38,1,01_2.0,0170_20140417_SZi_01_RAY_0089.JPG,"range(1, 11)","[""IMG_c061217b1f39deb1"", ""IMG_365230aff6ccf855"", ""IMG_c9089614b6a55260"", ""IMG_a6bf15b3e23eea6f"", ""IMG_4e11a152cf6d0958"", ""IMG_7b1e718057af2ab3"", ""IMG_0fda01828547a827"", ""IMG_7801983dd0c37889"", ""IMG_bcf3d9dd1cb6b9e2"", ""IMG_efc367ab53689fa5""]","[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1""]","[""01_4.0"", ""01_2.0"", ""01_2.0"", ""01_2.0"", ""01_8.0"", ""01_4.0"", ""01_3.0"", ""01_3.0"", ""01_1.0"", ""01_2.0""]","[false, false, false, false, false, false, false, false, false, false]","[false, true, true, true, false, false, false, false, false, true]","[0.899916410446167, 0.8906795978546143, 0.8863680958747864, 0.8546409010887146, 0.8254741430282593, 0.7698238492012024, 0.7690041065216064, 0.7664634585380554, 0.7644688487052917, 0.7052385807037354]","['0269_20140417_SZi_01_RAY_0272.JPG', '0271_20140417_SZi_01_RAY_0276.JPG', '0163_20140417_SZi_01_RAY_0060.JPG', '0282_20140417_SZi_01_RAY_0313.JPG', '0316_20140417_SZi_01_RAY_0364.JPG', '0259_20140417_SZi_01_RAY_0259.JPG', '0218_20140417_SZi_01_RAY_0174.JPG', '0407_20140417_SZi_01_RAY_0549.JPG', '0180_20140417_SZi_01_RAY_0108.JPG', '0281_20140417_SZi_01_RAY_0312.JPG']"
